id	ini	fn	pt	单字	漢字_程序改名	IPA_程序改名	注釋_程序改名
54	t	iɔk	45	刴	tiɔk45	tiɔk7	～猪肉，～肉丸[训]
55	tʰ	ɔ	451	妥	tʰɔ451	tʰɔ5	～当
56	tʰ	ɔ	21	椭	tʰɔ21	tʰɔ3	～圆
57	s	ui	213	唾	sui213	sui2	～弃，～液
58	ʦʰ	ui	213	惰	ʦʰui213	ʦʰui2	～性
59	n	ɔ	21	糯	nɔ21	nɔ3	～米
60	l	ɔ	213	騾	lɔ213	lɔ2	骡
61	l	ɔ	213	螺	lɔ213	lɔ2	田～
62	l	ɔ	213	腡	lɔ213	lɔ2	手指纹
63	l	ɔ	33	囉	lɔ33	lɔ1a	喽～，～嗦
64	l	ɔ	21	裸	lɔ21	lɔ3	～体
65	ʦʰ	ɔ	451	銼	ʦʰɔ451	ʦʰɔ5	～刀
66	ʦʰ	ɔ	33	坐	ʦʰɔ33	ʦʰɔ1a	～车，～稳
67	ʦʰ	ɔ	21	座	ʦʰɔ21	ʦʰɔ3	～位，上～
69	ɬ	ɔ	33	梭	ɬɔ33	ɬɔ1a	穿～，～子蟹
70	s	ɔ	33	唆	sɔ33	sɔ1a	～使
71	ɬ	ɔ	21	鎖	ɬɔ21	ɬɔ3	～匙
72	ɬ	ɔ	21	瑣	ɬɔ21	ɬɔ3	～碎，烦～
73	kʰ	ɔ	33	戈	kʰɔ33	kʰɔ1a	干～，～壁
74	k	ɔ	21	果	kɔ21	kɔ3	水～
75	k	ɔ	21	裹	kɔ21	kɔ3	包～
76	k	ɔ	451	過	kɔ451	kɔ5	～去，～头
77	f	ɔ	33	科	fɔ33	fɔ1a	～学，文～
78	h	ɔ	45	棵	hɔ45	hɔ1b	一～树
79	f	ɔ	21	顆	fɔ21	fɔ3	一～珍珠，～粒
80	f	ɔ	451	課	fɔ451	fɔ5	上～
82	ŋ	ɔ	21	臥	ŋɔ21	ŋɔ3	～室，～铺
83	f	ɔ	21	火	fɔ21	fɔ3	着～，～车
84	f	ɔ	21	夥	fɔ21	fɔ3	合～，～计
85	f	ɔ	451	貨	fɔ451	fɔ5	～车，百～
86	f	ɔ	213	和	fɔ213	fɔ2	～平[文]
87	v	ɔ	213	和	vɔ213	vɔ2	～尚[白]
88	v	ɔ	213	禾	vɔ213	vɔ2	割～，～苗
89	v	ɔ	21	禍	vɔ21	vɔ3	大～临头，～害
90	f	ɔ	213	和	fɔ213	fɔ2	唱～，～诗
91	v	ɔ	33	倭	vɔ33	vɔ1a	～寇
92	v	ɔ	33	窩	vɔ33	vɔ1a	～囊废，～藏
94	h	ɛ	45	靴	hɛ45	hɛ1b	皮～
95	p	a	33	巴	pa33	pa1a	～掌，～结，～黎
96	p	a	33	芭	pa33	pa1a	～蕉，～蕾
97	p	a	33	疤	pa33	pa1a	伤～
98	p	a	21	把	pa21	pa3	～握，～脉
100	p	a	451	壩	pa451	pa5	堤，溪～
101	p	a	45	吧	pa45	pa1b	酒～
102	p	a	451	垻	pa451	pa5	平地，湖洋～
103	p	a	33	爸	pa33	pa1a	爸爸
104	pʰ	a	451	怕	pʰa451	pʰa5	害怕，惊～
105	pʰ	ɐk	21	帕	pʰɐk21	pʰɐk8a	手～
106	pʰ	a	213	爬	pʰa213	pʰa2	～树
107	pʰ	a	213	琶	pʰa213	pʰa2	琵～
108	pʰ	a	213	杷	pʰa213	pʰa2	枇～
109	pʰ	a	213	耙	pʰa213	pʰa2	犁耙
110	m	a	213	麻	ma213	ma2	天～，～烦
111	m	a	213	痲	ma213	ma2	出～（得痳疹），～风
112	m	ɔ	45	蟆	mɔ45	mɔ1b	蛤～（蟾蜍）
113	m	a	45	媽	ma45	ma1b	妈妈
114	m	a	45	媽	ma45	ma1b	～祖
115	m	a	33	馬	ma33	ma1a	骑～，～虎
116	m	a	33	碼	ma33	ma1a	～头，大～
117	m	a	451	罵	ma451	ma5	～人
119	ʦʰ	a	213	茶	ʦʰa213	ʦʰa2	～叶
120	ʦ	a	33	楂	ʦa33	ʦa1a	山～
121	ʦ	a	33	渣	ʦa33	ʦa1a	药～
122	ʦ	a	451	詐	ʦa451	ʦa5	～骗
123	ʦ	a	451	榨	ʦa451	ʦa5	～菜，～油
124	ʦ	a	451	炸	ʦa451	ʦa5	～药
125	ʦʰ	a	45	叉	ʦʰa45	ʦʰa1b	刀～，～腰
126	ʦʰ	a	45	杈	ʦʰa45	ʦʰa1b	桠～，树～
127	ʦʰ	a	33	差	ʦʰa33	ʦʰa1a	～别
128	ʦʰ	a	451	岔	ʦʰa451	ʦʰa5	～路
129	ʦʰ	a	213	查	ʦʰa213	ʦʰa2	调～
130	ɬ	a	33	沙	ɬa33	ɬa1a	泥～，～漠
131	ɬ	a	33	紗	ɬa33	ɬa1a	～布
132	ɬ	ɐm	213	灑	ɬɐm213	ɬɐm2	～水
133	h	a	21	廈	ha21	ha3	偏廈（厢房）
134	ɬ	a	33	痧	ɬa33	ɬa1a	发～，刮～
135	k	a	33	家	ka33	ka1a	老～，～庭
136	ɬ	a	33	砂	ɬa33	ɬa1a	朱～，～纸
137	k	a	33	加	ka33	ka1a	～工
138	p	a	33	□	pa33	pa1a	結痂
139	k	a	33	嘉	ka33	ka1a	～宾
140	k	a	21	假	ka21	ka3	真～，～设
141	k	a	21	賈	ka21	ka3	姓，～宝玉
142	k	a	21	假	ka21	ka3	放～，～期
143	k	a	451	架	ka451	ka5	书～
144	k	a	451	駕	ka451	ka5	～驶证
145	k	a	451	嫁	ka451	ka5	～人
146	k	a	451	稼	ka451	ka5	庄～，邓～先
148	n	ian	21	揢	nian21	nian3	用虎口掐
149	ŋ	a	213	牙	ŋa213	ŋa2	～齿，刷～
150	ŋ	a	213	芽	ŋa213	ŋa2	豆～
151	ŋ	a	213	衙	ŋa213	ŋa2	～门
152	ŋ	a	21	雅	ŋa21	ŋa3	文～；～典（国名）
153	ŋ	ian	213	砑	ŋian213	ŋian2	碾，～平，～碎
154	h	a	45	蝦	ha45	ha1b	鱼～，～公
155	h	æk	21	嚇	hæk21	hæk8a	～人
156	h	a	21	霞	ha21	ha3	晚～
157	pʰ	a	21	瑕	pʰa21	pʰa3	～疵
158	h	a	45	蝦	ha45	ha1b	～蟆（蟾蜍）
159	h	a	21	下	ha21	ha3	～背，底～
160	h	a	33	下	ha33	ha1a	取下，～下来
161	h	a	21	夏	ha21	ha3	姓
162	h	a	21	廈	ha21	ha3	～门，大～
163	h	a	21	下	ha21	ha3	～降，～流
164	h	a	21	夏	ha21	ha3	春～秋冬
166	ʔ	a	33	鴉	ʔa33	ʔa1a	老～，乌～，～片
167	ʔ	a	45	丫	ʔa45	ʔa1b	～鬟，～头
168	ʔ	a	33	椏	ʔa33	ʔa1a	～杈
169	ʔ	a	21	啞	ʔa21	ʔa3	哑巴，～佬
170	ʔ	a	33	亞	ʔa33	ʔa1a	～洲，～军
171	ʦ	ia	21	姐	ʦia21	ʦia3	小～[文]
172	ʦ	ia	21	姐	ʦia21	ʦia3	姐姐[白]
173	ʦ	ia	451	借	ʦia451	ʦia5	～钱
174	ʦʰ	ia	21	且	ʦʰia21	ʦʰia3	而～，况～
175	ʦʰ	ia	451	笡	ʦʰia451	ʦʰia5	斜，～～（歪斜的样子）
176	ʦ	ia	451	藉	ʦia451	ʦia5	～故，～口
177	t	iɐt	45	□	tiɐt45	tiɐt7	一些
178	ɬ	ia	21	寫	ɬia21	ɬia3	～字
179	ɬ	ɛ	451	瀉	ɬɛ451	ɬɛ5	腹～，一～千里
180	ɬ	ɛ	451	卸	ɬɛ451	ɬɛ5	～货，推～
181	ʦʰ	ia	33	邪	ʦʰia33	ʦʰia1a	～气，～门歪道
182	ʦʰ	ia	33	斜	ʦʰia33	ʦʰia1a	倾～[文]
183	ʦʰ	ia	45	斜	ʦʰia45	ʦʰia1b	不正[白]
184	ʦʰ	ia	21	謝	ʦʰia21	ʦʰia3	多～；姓
185	t	ɛ	33	爹	tɛ33	tɛ1a	～娘
186	ʦ	a	33	遮	ʦa33	ʦa1a	遮挡[动]；伞[名]
187	ʦ	ia	21	者	ʦia21	ʦia3	记～，作～
188	ʦ	a	451	蔗	ʦa451	ʦa5	甘蔗
189	ʦʰ	a	33	車	ʦʰa33	ʦʰa1a	火～
190	ʦʰ	a	21	扯	ʦʰa21	ʦʰa3	～开，～烂
191	s	a	213	蛇	sa213	sa2	毒～
192	s	a	21	射	sa21	sa3	发～，～箭
193	s	a	21	麝	sa21	sa3	～香
195	s	a	33	賒	sa33	sa1a	～帐
196	s	a	21	捨	sa21	sa3	～唔得（舍不得）
197	s	a	451	赦	sa451	sa5	～免
198	s	a	451	舍	sa451	sa5	宿～
199	s	a	33	社	sa33	sa1a	～会，公～
200	j	a	33	惹	ja33	ja1a	～事
201	j	ai	213	耶	jai213	jai2	～稣
202	j	a	213	爺	ja213	ja2	父亲；爷爷[文]
203	j	a	451	也	ja451	ja5	～知
204	j	a	33	野	ja33	ja1a	～人
205	j	a	21	夜	ja21	ja3	日～，～班
206	s	ɔ	213	傻	sɔ213	sɔ2	～瓜，～子
207	k	a	33	瓜	ka33	ka1a	西～，～分
208	v	ɔ	33	蝸	vɔ33	vɔ1a	～牛
209	k	a	21	寡	ka21	ka3	～妇，守～
210	k	ɔk	21	剮	kɔk21	kɔk8a	千刀万～
211	kʰ	a	33	誇	kʰa33	kʰa1a	～大，～张
212	kʰ	a	33	垮	kʰa33	kʰa1a	～台
213	kʰ	a	33	跨	kʰa33	kʰa1a	～栏，～度
214	v	a	33	娃	va33	va1a	洋～～
215	ŋ	a	21	瓦	ŋa21	ŋa3	～片
216	f	a	33	花	fa33	fa1a	开～
217	f	a	451	化	fa451	fa5	变～
218	f	a	213	華	fa213	fa2	中～
219	v	ɐt	21	劃	vɐt21	vɐt8a	～船
220	f	a	213	華	fa213	fa2	～山；姓
221	v	a	33	蛙	va33	va1a	青～，～泳
222	p	u	21	補	pu21	pu3	～鞋，～充
223	pʰ	u	21	譜	pʰu21	pʰu3	族～，歌～
224	p	u	451	布	pu451	pu5	红～，～料
225	p	u	451	佈	pu451	pu5	公～，～置
226	pʰ	u	33	鋪	pʰu33	pʰu1a	～路，床～
227	pʰ	u	21	普	pʰu21	pʰu3	～通，～遍
228	pʰ	u	21	浦	pʰu21	pʰu3	黄～江
229	pʰ	u	451	鋪	pʰu451	pʰu5	店～，当～
230	p	u	451	怖	pu451	pu5	恐～
231	f	ok	21	蒲	fok21	fok8a	（石）菖～
232	pʰ	ɔ	213	菩	pʰɔ213	pʰɔ2	～萨
234	pʰ	u	21	部	pʰu21	pʰu3	～队，干～
235	pʰ	u	21	簿	pʰu21	pʰu3	练习～，帐～
236	pʰ	u	21	步	pʰu21	pʰu3	跑～
237	pʰ	u	21	捕	pʰu21	pʰu3	逮～，～快
238	f	ɐi	21	埠	fɐi21	fɐi3	开～
239	f	ɐi	21	埠	fɐi21	fɐi3	庵～，蚌～（地名）
240	m	ɔ	213	模	mɔ213	mɔ2	～型，～范
241	m	ɔ	213	摹	mɔ213	mɔ2	～仿，描～
242	m	u	451	暮	mu451	mu5	日暮
243	m	u	451	慕	mu451	mu5	羡～，～名而来
244	m	u	451	墓	mu451	mu5	坟～，～地
245	m	u	451	募	mu451	mu5	～捐
246	t	u	33	都	tu33	tu1a	首～，～市
247	t	u	33	都	tu33	tu1a	都是
248	ɬ	ɐt	45	堵	ɬɐt45	ɬɐt7	～车，～塞
249	t	u	21	賭	tu21	tu3	～博
250	t	u	21	肚	tu21	tu3	猪～，鱼～
251	k	i	451	妒	ki451	ki5	～忌
252	tʰ	u	21	土	tʰu21	tʰu3	～地
253	tʰ	ɔ	451	吐	tʰɔ451	tʰɔ5	～痰；呕～
254	tʰ	u	451	兔	tʰu451	tʰu5	野～
255	tʰ	u	213	徒	tʰu213	tʰu2	～弟
256	tʰ	ɔ	213	屠	tʰɔ213	tʰɔ2	～杀
257	tʰ	u	213	途	tʰu213	tʰu2	前～
258	tʰ	u	213	塗	tʰu213	tʰu2	糊～，～改
259	tʰ	u	213	圖	tʰu213	tʰu2	画～，地～
260	tʰ	u	21	杜	tʰu21	tʰu3	姓；杜仲（中药）
261	tʰ	u	21	肚	tʰu21	tʰu3	肚子
262	tʰ	u	21	度	tʰu21	tʰu3	～数，长～
263	tʰ	u	21	渡	tʰu21	tʰu3	偷～，摆～
264	tʰ	u	21	鍍	tʰu21	tʰu3	电～
265	n	u	213	奴	nu213	nu2	～隶
266	n	u	21	努	nu21	nu3	～力
267	n	u	451	怒	nu451	nu5	愤～，～气
268	l	u	213	盧	lu213	lu2	姓
269	l	u	213	爐	lu213	lu2	火～
270	l	u	213	蘆	lu213	lu2	～苇
271	l	u	213	鸕	lu213	lu2	～鹚（扁嘴善捕鱼的水鸟）
272	l	ɔ	21	魯	lɔ21	lɔ3	～国，～迅
273	l	ɔ	21	虜	lɔ21	lɔ3	俘～
274	l	ɔ	21	滷	lɔ21	lɔ3	盐～，～水
275	l	u	21	路	lu21	lu3	大～
276	l	u	21	賂	lu21	lu3	贿～
277	l	u	451	露	lu451	lu5	～水，白～，打～
278	l	u	451	鷺	lu451	lu5	白～
279	ʦ	u	33	租	ʦu33	ʦu1a	～金，出～
280	ʦ	u	21	祖	ʦu21	ʦu3	～宗，～国
281	ʦ	u	21	組	ʦu21	ʦu3	～织，小～
282	ʦ	ɔ	451	做	ʦɔ451	ʦɔ5	～好事
283	ʦʰ	u	33	粗	ʦʰu33	ʦʰu1a	～心
284	ʦʰ	u	451	醋	ʦʰu451	ʦʰu5	陈～
285	ʦʰ	u	451	措	ʦʰu451	ʦʰu5	～施
286	ʦʰ	ɔ	451	錯	ʦʰɔ451	ʦʰɔ5	～误
287	ɬ	u	33	蘇	ɬu33	ɬu1a	～州；姓
288	ɬ	u	45	酥	ɬu45	ɬu1b	脆，杏仁～
289	ɬ	u	451	素	ɬu451	ɬu5	～菜，朴～
290	ɬ	u	451	訴	ɬu451	ɬu5	上～，倾～
291	ɬ	ɔk	21	塑	ɬɔk21	ɬɔk8a	雕～，～料
292	k	u	33	姑	ku33	ku1a	大～
293	k	u	33	孤	ku33	ku1a	～儿，～单
294	kʰ	u	33	箍	kʰu33	kʰu1a	紧～咒[文]
295	f	ɔk	21	□	fɔk21	fɔk8a	围束，箍桶[白]
296	k	u	21	古	ku21	ku3	～代
297	kʰ	u	33	估	kʰu33	kʰu1a	～计
298	k	u	21	牯	ku21	ku3	牛～
299	k	u	21	股	ku21	ku3	～票
300	k	u	21	鼓	ku21	ku3	锣～，～励
301	k	u	451	故	ku451	ku5	～事，～乡
302	k	u	21	蛊	ku21	ku3	养～，～惑
303	k	u	451	固	ku451	ku5	～定
304	k	u	451	錮	ku451	ku5	禁～
305	k	u	451	雇	ku451	ku5	～人，～主
306	k	u	451	顧	ku451	ku5	照～
307	kʰ	u	33	枯	kʰu33	kʰu1a	干～，～水
308	f	u	21	苦	fu21	fu3	辛～，食～（吃苦）
309	f	u	21	苦	fu21	fu3	～味
310	f	u	451	庫	fu451	fu5	水～，仓～
311	f	u	451	褲	fu451	fu5	裤子
312	ʔ	ŋ̍	213	吳	ʔŋ̍213	ʔŋ̍2	姓
313	ʔ	ŋ̍	213	蜈	ʔŋ̍213	ʔŋ̍2	～蚣
314	ʔ	ŋ̍	213	梧	ʔŋ̍213	ʔŋ̍2	～桐
315	ʔ	ŋ̍	21	五	ʔŋ̍21	ʔŋ̍3	数字
316	ʔ	ŋ̍	21	伍	ʔŋ̍21	ʔŋ̍3	姓；队～
317	ʔ	ŋ̍	21	午	ʔŋ̍21	ʔŋ̍3	中～，端～
318	ʔ	ŋ̍	21	誤	ʔŋ̍21	ʔŋ̍3	～会，错～
319	ʔ	ŋ̍	21	悟	ʔŋ̍21	ʔŋ̍3	觉～；孙～空
320	f	u	33	呼	fu33	fu1a	称～，～吸，招～
321	f	u	21	虎	fu21	fu3	老～
322	f	u	33	虎	fu33	fu1a	马～
323	f	u	21	滸	fu21	fu3	水～
324	f	u	451	戽	fu451	fu5	～水（泼水），～斗
325	f	u	213	胡	fu213	fu2	二～ ；姓
326	f	u	213	湖	fu213	fu2	西～
327	f	u	213	狐	fu213	fu2	～狸
328	f	u	213	壺	fu213	fu2	水～
329	f	u	213	乎	fu213	fu2	在～
330	pʰ	u	213	瓠	pʰu213	pʰu2	瓠卢，同葫芦
331	f	u	213	鬍	fu213	fu2	～须
332	f	u	213	蝴	fu213	fu2	～蝶
333	f	u	213	糊	fu213	fu2	浆～，～涂
334	f	u	21	戶	fu21	fu3	～口
335	l	u	213	滬	lu213	lu2	上海简称
336	f	u	451	互	fu451	fu5	～相
337	f	u	451	護	fu451	fu5	保～，～士
338	f	u	213	瓠	fu213	fu2	瓠瓜（味似葫芦而长）
339	v	u	33	烏	vu33	vu1a	黑
340	v	u	33	汚	vu33	vu1a	～染
341	v	u	33	塢	vu33	vu1a	船～
342	v	u	451	惡	vu451	vu5	可～
343	ȵ	y	21	女	ȵy21	ȵy3	女人
344	l	u	213	廬	lu213	lu2	～山
345	l	u	213	驢	lu213	lu2	毛驴
346	l	y	33	呂	ly33	ly1a	姓
347	l	y	33	旅	ly33	ly1a	～游
348	l	ui	21	慮	lui21	lui3	考～
349	l	ui	21	濾	lui21	lui3	过～
350	ʦʰ	ui	33	蛆	ʦʰui33	ʦʰui1a	蛆虫，生～
351	ɬ	ui	451	絮	ɬui451	ɬui5	棉～
352	ʦʰ	y	213	徐	ʦʰy213	ʦʰy2	姓
353	ʦʰ	ui	21	序	ʦʰui21	ʦʰui3	顺～
354	ʦʰ	ui	21	敍	ʦʰui21	ʦʰui3	倒～
355	s	ui	451	緖	sui451	sui5	情～；光～
356	ʦ	y	33	豬	ʦy33	ʦy1a	～肉
357	ʦ	y	451	著	ʦy451	ʦy5	～名，显～
358	ʦʰ	y	213	除	ʦʰy213	ʦʰy2	～法
359	ʦʰ	y	21	儲	ʦʰy21	ʦʰy3	～蓄
361	ʦʰ	y	21	箸	ʦʰy21	ʦʰy3	筷子
362	ʦ	ɔ	21	阻	ʦɔ21	ʦɔ3	～止，～力
363	ʦʰ	ɔ	33	初	ʦʰɔ33	ʦʰɔ1a	当～，～中
365	ʦʰ	ɔ	21	礎	ʦʰɔ21	ʦʰɔ3	基～
366	ʦʰ	ɔ	21	鋤	ʦʰɔ21	ʦʰɔ3	～草，～禾日当午
367	ʦʰ	ɔ	21	助	ʦʰɔ21	ʦʰɔ3	帮～
368	ɬ	ɔ	33	梳	ɬɔ33	ɬɔ1a	梳子[名]；梳头[动]
369	ɬ	ɔ	33	疏	ɬɔ33	ɬɔ1a	～远；稀疏
370	ɬ	ɔ	33	疏	ɬɔ33	ɬɔ1a	生～
371	ɬ	ɔ	33	蔬	ɬɔ33	ɬɔ1a	～菜
372	ɬ	ɔ	21	所	ɬɔ21	ɬɔ3	～以；派出～
373	ɬ	ɔ	33	疏	ɬɔ33	ɬɔ1a	注～
374	ʦ	y	33	諸	ʦy33	ʦy1a	姓；～如此类
375	ʦ	y	21	煮	ʦy21	ʦy3	～饭
376	ʦʰ	y	451	處	ʦʰy451	ʦʰy5	～理
377	ʦʰ	y	451	處	ʦʰy451	ʦʰy5	～所
378	s	y	33	書	sy33	sy1a	读～
379	s	y	33	舒	sy33	sy1a	～服
380	s	y	21	暑	sy21	sy3	～假
381	s	y	21	鼠	sy21	sy3	老～
382	s	a	451	庶	sa451	sa5	～民
384	s	y	21	署	sy21	sy3	～名
385	s	y	213	薯	sy213	sy2	番～
386	ȵ	y	213	如	ȵy213	ȵy2	～果，假～
387	k	y	33	居	ky33	ky1a	～民
388	k	y	33	車	ky33	ky1a	象棋，～马炮
389	k	y	21	舉	ky21	ky3	～报，～重
390	k	y	451	據	ky451	ky5	收～
391	k	y	451	鋸	ky451	ky5	电～
392	n	au	21	鬧	nau21	nau3	～日：墟日
393	s	i	451	去	si451	si5	来～，过～
394	kʰ	y	21	渠	kʰy21	kʰy3	水～，～道
395	kʰ	y	21	佢	kʰy21	kʰy3	他，第三人称
396	kʰ	y	21	巨	kʰy21	kʰy3	～大
397	kʰ	y	21	拒	kʰy21	kʰy3	～绝
398	kʰ	y	21	距	kʰy21	kʰy3	～离
399	ȵ	y	213	魚	ȵy213	ȵy2	金～
400	ȵ	y	213	漁	ȵy213	ȵy2	～业，～夫
401	ȵ	y	21	語	ȵy21	ȵy3	～文
402	j	y	21	御	jy21	jy3	～用文人
403	j	y	21	禦	jy21	jy3	防～
405	ʦʰ	a	33	嘘	ʦʰa33	ʦʰa1a	吹～
406	h	y	21	許	hy21	hy3	允～；姓
407	j	y	33	於	jy33	jy1a	在～
408	v	u	33	淤	vu33	vu1a	～泥
409	j	y	213	余	jy213	jy2	姓
410	j	y	213	餘	jy213	jy2	多～
411	j	y	21	與	jy21	jy3	参～，给～，～众不同
412	j	y	21	予	jy21	jy3	给～
413	j	y	21	譽	jy21	jy3	荣～
414	j	y	21	預	jy21	jy3	～报，～备
415	j	y	213	豫	jy213	jy2	犹～
416	f	u	33	夫	fu33	fu1a	～妻，车～
417	f	u	33	膚	fu33	fu1a	皮～
419	f	u	21	府	fu21	fu3	政～
420	f	u	21	腑	fu21	fu3	五脏六～
421	f	u	21	俯	fu21	fu3	～卧撑，～视
422	pʰ	u	21	甫	pʰu21	pʰu3	杜～
423	pʰ	u	213	脯	pʰu213	pʰu2	菜～（萝卜干）
424	f	u	21	斧	fu21	fu3	～头
425	f	u	451	付	fu451	fu5	应～
426	f	u	451	咐	fu451	fu5	吩～
427	f	u	451	賦	fu451	fu5	天～
428	f	u	21	傅	fu21	fu3	师～[文]
429	f	u	451	傅	fu451	fu5	姓[白]
430	f	u	33	敷	fu33	fu1a	～衍，～药
431	f	u	33	俘	fu33	fu1a	～虏
432	f	u	33	孵	fu33	fu1a	孵小鸡
434	f	u	21	撫	fu21	fu3	～养，安～
435	m	ɔi	213	霉	mɔi213	mɔi2	食物长毛变质，臭～
436	f	u	451	赴	fu451	fu5	奔～，～汤蹈火
437	p	ok	45	訃	pok45	pok7	～告
438	f	u	213	符	fu213	fu2	～合，鬼画～
439	f	u	213	扶	fu213	fu2	～贫，～手[文]
440	f	u	213	扶	fu213	fu2	搀扶，～起来[白]
441	f	u	213	芙	fu213	fu2	～蓉
442	f	u	21	父	fu21	fu3	～亲
443	f	u	21	釜	fu21	fu3	破～沉舟
444	f	u	21	腐	fu21	fu3	～败
445	f	u	21	腐	fu21	fu3	豆～
446	f	u	451	輔	fu451	fu5	～导，～助
447	f	u	21	附	fu21	fu3	～近，～带
448	m	ɔ	213	無	mɔ213	mɔ2	没有，～中生有[文]
449	m	ɔ	213	無	mɔ213	mɔ2	没有，～事[白]
450	m	ɔ	45	巫	mɔ45	mɔ1b	姓；～婆
451	m	ɔ	213	誣	mɔ213	mɔ2	～陷，～告
452	v	u	21	武	vu21	vu3	～器，～术
453	m	u	21	舞	mu21	mu3	跳～
454	m	u	21	舞	mu21	mu3	拨弄，摆弄[白，动]
455	m	u	21	侮	mu21	mu3	～辱
456	v	u	21	鵡	vu21	vu3	鹦～
457	m	u	451	務	mu451	mu5	任～，～农
458	m	u	451	霧	mu451	mu5	大～
459	l	ɐi	213	縷	lɐi213	lɐi2	千丝万～
460	l	ui	21	屢	lui21	lui3	～次，～教不改
461	ʦʰ	y	33	趨	ʦʰy33	ʦʰy1a	～势
462	ʦʰ	ui	21	取	ʦʰui21	ʦʰui3	～钱
464	tʰ	ui	451	趣	tʰui451	tʰui5	兴～
465	ʦʰ	ui	21	聚	ʦʰui21	ʦʰui3	～会
466	ʦʰ	ui	21	聚	ʦʰui21	ʦʰui3	捡～（收拢）[白]
467	ɬ	ui	33	須	ɬui33	ɬui1a	必～
468	ɬ	u	33	鬚	ɬu33	ɬu1a	胡～
469	ɬ	ui	33	需	ɬui33	ɬui1a	～要
470	ʦʰ	ok	21	續	ʦʰok21	ʦʰok8a	连～，继～
471	ʦ	y	33	誅	ʦy33	ʦy1a	天～地灭
472	ʦ	y	33	蛛	ʦy33	ʦy1a	蜘～
473	ʦ	y	33	株	ʦy33	ʦy1a	守～待兔
474	ʦʰ	y	21	駐	ʦʰy21	ʦʰy3	～扎
475	ʦ	y	451	註	ʦy451	ʦy5	～释
477	ʦʰ	y	213	橱	ʦʰy213	ʦʰy2	碗～
